ID_LABEL1,Date Ordered,ID #,Format,Pub Status,Pub Status Description,SRDP,Order Disc Class,Product Class,Quantity Ordered,Order Price,Disc Pct,Line Amount
124,8/24/17,1,C,1,Active Title,,124ND,UCTECH,2,72,0,144
124,11/29/17,1,C,1,Active Title,,124ND,UCTECH,1,72,100,0
124,9/5/18,1,C,1,Active Title,,124ND,UCTECH,6,72,0,432
124,5/21/18,1,C,1,Active Title,,124ND,UCTECH,1,72,100,0
124,6/14/17,1,C,1,Active Title,,124ND,UCTECH,1,72,100,0
124,8/29/18,1,C,1,Active Title,,124ND,UCTECH,9,72,0,648
124,8/31/17,1,C,1,Active Title,,124ND,UCTECH,-6,72,0,-432
124,6/5/17,1,C,1,Active Title,,124ND,UCTECH,1,72,0,72
124,8/3/17,1,C,1,Active Title,,124ND,UCTECH,6,72,0,432
124,4/9/18,1,C,1,Active Title,,124ND,UCTECH,-2,72,0,-144
124,8/11/17,1,C,1,Active Title,,124ND,UCTECH,50,72,100,0
124,8/3/17,1,C,1,Active Title,,124ND,UCTECH,6,72,0,432
124,7/7/17,1,C,1,Active Title,,124ND,UCTECH,1,72,0,72
124,1/19/18,1,C,1,Active Title,,124ND,UCTECH,1,72,100,0
124,7/17/18,1,C,1,Active Title,,124ND,UCTECH,5,72,0,360
124,6/18/18,1,C,1,Active Title,,124ND,UCTECH,27,72,0,"1,944.00"
124,6/9/17,1,C,1,Active Title,,124ND,UCTECH,1,72,100,0
124,5/2/18,1,C,1,Active Title,,124ND,UCTECH,20,69,,"1,380.00"
124,11/7/18,1,C,1,Active Title,,124ND,UCTECH,1,72,100,0
124,11/7/18,1,C,1,Active Title,,124ND,UCTECH,1,72,100,0
124,11/7/18,1,C,1,Active Title,,124ND,UCTECH,1,72,100,0
124,11/7/18,1,C,1,Active Title,,124ND,UCTECH,1,72,100,0
124,8/22/17,1,C,1,Active Title,,124ND,UCTECH,9,72,0,648
124,12/12/18,1,C,1,Active Title,,124ND,UCTECH,1,72,100,0
